Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteAll_String,21,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteFirst_String,21,1,4,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteAll_StrMatcher,13,1,4,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteFirst_StrMatcher,13,1,4,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_int_int_String,22,1,8,6,0.14849168858305223,0.024661826242437065,0.07381117083379468,0.06405815086731881,0.05130368470370787
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceAll_char_char,13,1,6,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceFirst_char_char,13,1,7,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceAll_String_String,25,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceFirst_String_String,25,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceAll_StrMatcher_String,31,1,4,4,0.14849168858305223,0.00021925521197045756,0.06920681138241508,0.06405815086731881,0.0627170793018197
